"YEAR","viability","age_category","HIV","case_count"
2007,"Viable","20 - 24 years","Negative",8
2007,"Viable","20 - 24 years","Positive",42
2007,"Viable","20 - 24 years","Unknown",104
2007,"Viable","25 - 29 years","Negative",6
2007,"Viable","25 - 29 years","Positive",70
2007,"Viable","25 - 29 years","Unknown",167
2007,"Viable","30 - 34 years","Negative",2
2007,"Viable","30 - 34 years","Positive",90
2007,"Viable","30 - 34 years","Unknown",224
2007,"Viable","35 - 39 years","Negative",14
2007,"Viable","35 - 39 years","Positive",121
2007,"Viable","35 - 39 years","Unknown",213
2007,"Viable","40 - 44 years","Negative",8
2007,"Viable","40 - 44 years","Positive",83
2007,"Viable","40 - 44 years","Unknown",150
2007,"Viable","45 - 49 years","Negative",10
2007,"Viable","45 - 49 years","Positive",38
2007,"Viable","45 - 49 years","Unknown",103
2007,"Viable","50 - 54 years","Negative",6
2007,"Viable","50 - 54 years","Positive",28
2007,"Viable","50 - 54 years","Unknown",80
2007,"Viable","55 - 59 years","Negative",4
2007,"Viable","55 - 59 years","Positive",10
2007,"Viable","55 - 59 years","Unknown",37
2007,"Viable","60 - 64 years","Negative",1
2007,"Viable","60 - 64 years","Positive",9
2007,"Viable","60 - 64 years","Unknown",35
2007,"Viable","65 - 69 years","Negative",1
2007,"Viable","65 - 69 years","Positive",4
2007,"Viable","65 - 69 years","Unknown",35
2007,"Viable","70 - 74 years","Negative",7
2007,"Viable","70 - 74 years","Positive",1
2007,"Viable","70 - 74 years","Unknown",18
2007,"Viable","75 - 79 years","Negative",1
2007,"Viable","75 - 79 years","Unknown",21
2007,"Viable","80 - 84 years","Unknown",3
2007,"Viable","85 - 89 years","Unknown",4
2007,"Viable","90 - 94 years","Unknown",2
2007,"Viable","Unknown","Negative",2
2007,"Viable","Unknown","Positive",1
2007,"Viable","Unknown","Unknown",132
2008,"Audit","0 - 5 months","Negative",4
2008,"Audit","0 - 5 months","Positive",1
2008,"Audit","0 - 5 months","Unknown",82
2008,"Audit","6 - 11 months","Negative",4
2008,"Audit","6 - 11 months","Positive",6
2008,"Audit","6 - 11 months","Unknown",44
2008,"Audit","12 - 17 months","Unknown",26
2008,"Audit","18 - 23 months","Negative",1
2008,"Audit","18 - 23 months","Positive",4
2008,"Audit","18 - 23 months","Unknown",19
2008,"Audit","24 - 29 months","Positive",2
2008,"Audit","24 - 29 months","Unknown",10
2008,"Audit","30 - 35 months","Unknown",4
2008,"Audit","36 - 41 months","Unknown",7
2008,"Audit","42 - 47 months","Positive",2
2008,"Audit","42 - 47 months","Unknown",4
2008,"Audit","48 - 53 months","Positive",1
2008,"Audit","48 - 53 months","Unknown",8
2008,"Audit","54 - 59 months","Unknown",5
2008,"Audit","5 - 9 years","Negative",1
2008,"Audit","5 - 9 years","Positive",3
2008,"Audit","5 - 9 years","Unknown",56
2008,"Audit","10 - 14 years","Positive",3
2008,"Audit","10 - 14 years","Unknown",23
2008,"Audit","15 - 19 years","Unknown",17
2008,"Audit","20 - 24 years","Positive",7
2008,"Audit","20 - 24 years","Unknown",33
2008,"Audit","25 - 29 years","Positive",7
2008,"Audit","25 - 29 years","Unknown",90
2008,"Audit","30 - 34 years","Negative",1
2008,"Audit","30 - 34 years","Positive",16
2008,"Audit","30 - 34 years","Unknown",108
2008,"Audit","35 - 39 years","Positive",14
2008,"Audit","35 - 39 years","Unknown",66
2008,"Audit","40 - 44 years","Negative",1
2008,"Audit","40 - 44 years","Positive",6
2008,"Audit","40 - 44 years","Unknown",59
2008,"Audit","45 - 49 years","Positive",1
2008,"Audit","45 - 49 years","Unknown",49
2008,"Audit","50 - 54 years","Positive",5
2008,"Audit","50 - 54 years","Unknown",34
2008,"Audit","55 - 59 years","Negative",1
2008,"Audit","55 - 59 years","Positive",1
